Intersection Type, Street Number,Nearest street number intersection,Latitude, Longitude,roundabout flag,2012 accidents,2013 accidents,2014 accidents,2015 accidents,Total accidents
1,1940,5082,45 29.50668548200000004,-122 34.433398183,0,14,19,26,37,96
3,,,45 39.59676504,-122 51.5615525,0,11,29,16,19,75
1,614,5122,45 30.147339046,-122 32.15659080599999998,0,5,18,15,28,66
1,905,5181,45 31.351072986,-122 28.37424063000000004,0,6,13,22,20,61
1,2259,5122,45 31.8484148800000002,-122 32.16002907500000003,0,8,21,12,17,58
1,1940,5136,45 29.522820751,-122 31.247750758,0,8,16,16,14,54
1,1005,5102,45 32.06833522,-122 33.289425228,0,7,10,22,14,53
3,1697,9338,45 30.14017698,-122 40.309205316,0,4,14,10,25,53
1,614,9722,45 30.15962156699999998,-122 33.57373404099999995,0,7,19,10,16,52
1,1940,5092,45 29.50668548200000004,-122 34.433398183,0,3,14,17,18,52
1,1940,5039,45 29.50425042100000006,-122 37.21372050199999997,0,9,12,13,15,49
1,922,5102,45 31.345779985,-122 33.293414587,0,6,8,17,18,49
1,612,1301,45 30.172119873,-122 23.597637358,0,7,14,14,13,48
1,829,5082,45 32.533127119,-122 34.434491679,0,0,14,19,14,47
1,614,5082,45 30.173567293,-122 34.432455733,0,9,12,11,14,46
1,922,9725,45 31.347906303,-122 33.514121374,0,7,6,19,14,46
1,612,5182,45 30.164290816,-122 28.321336955,0,15,11,11,8,45
1,1005,5122,45 32.08651281999999999,-122 32.154897514,0,4,11,13,17,45
1,1940,5122,45 29.49489921700000004,-122 32.155840187,0,3,11,14,17,45
1,2218,5181,45 31.89699601,-122 28.37676379299999994,0,6,11,11,16,44
1,2620,5102,45 32.2855482,-122 33.28951129700000003,0,5,13,10,16,44
1,929,1591,45 31.20006752,-122 39.38723455799999996,0,6,6,13,17,42
1,1940,5174,45 29.323111452,-122 29.4823532,0,5,12,15,10,42
1,267,2402,45 32.62922476,-122 39.4191775820000001,0,7,11,13,11,42
1,922,5082,45 31.35141085499999996,-122 34.44540733,0,5,10,14,13,42
1,2203,5257,45 31.8646843400000002,-122 23.5430442339999999,0,4,15,15,8,42
1,234,5181,45 31.192322008,-122 28.37607690600000005,0,6,7,9,18,40
1,922,5099,45 31.346765599,-122 33.4308263970000001,0,5,7,15,13,40
1,2658,5082,45 28.46111478000000005,-122 34.44437112799999994,0,9,8,11,12,40
1,1010,5181,45 32.49063196,-122 28.37980430299999995,0,4,12,12,11,39
1,614,5112,45 30.151083359,-122 32.528315262,0,4,6,16,13,39
1,267,929,45 32.6240361900000001,-122 39.38269987799999996,0,5,13,12,9,39
1,232,612,45 30.17358671100000002,-122 25.23528423,0,6,11,12,10,39
1,1515,2402,45 30.491945166,-122 39.425562553,0,4,10,9,16,39
1,2612,7103,45 31.5997996400000001,-122 33.273605223,0,6,11,5,17,39
1,705,1920,45 29.496524939,-122 26.175841869,0,6,9,12,11,38
1,1023,1920,45 29.522814375,-122 24.50049182,0,5,9,12,12,38
1,614,5162,45 30.164602629,-122 29.47846298499999996,0,6,11,12,9,38
1,1534,1904,45 29.121328209,-122 23.58687371999999996,0,4,11,12,11,38